start,IATA,PNRs
2019-01-03,YYZ,2991
2019-01-03,CLE,1381
2019-01-03,CMH,1435
2019-01-03,PEK,1071
2019-01-03,SFO,3988
2019-01-03,AUS,2225
2019-01-03,SJC,3906
2019-01-03,DEN,2233
2019-01-03,DFW,6852
2019-01-03,MEX,1232
2019-01-03,MAD,739
2019-01-03,SHA,2508
2019-01-03,WAS,4744
2019-01-03,BOS,4469
2019-01-03,RDU,2187
2019-01-03,CPH,1310
2019-01-03,LAX,3069
2019-01-03,SNA,1838
2019-01-03,PIT,1610
2019-01-03,PHL,3621
2019-01-03,ATL,4885
2019-01-03,MIA,1288
2019-01-03,SEA,3406
2019-01-03,FRA,1121
2019-01-03,MSP,2343
2019-01-03,PDX,1605
2019-01-03,SAT,1553
2019-01-03,BNA,1640
2019-01-03,PAR,6940
2019-01-03,CLT,3062
2019-01-03,EWR,5463
2019-01-03,LON,7331
2019-01-03,NYC,8914
2019-01-03,STL,1462
2019-01-03,SAN,1538
2019-01-03,DTW,2589
2019-01-03,CHI,6418
2019-01-03,MUC,1657
2019-01-03,AMS,1389
2019-01-03,IND,1420
2019-01-03,YUL,999
2019-01-03,PHX,2859
2019-01-03,SYD,621
2019-01-03,MIL,1092
2019-01-03,HOU,3927
2019-01-03,STO,1087
2019-01-03,SIN,1236
2019-01-03,MCO,1727
2019-01-03,LAS,3775
2019-01-03,TLS,1217
2019-01-10,PAR,10895
2019-01-10,CPH,1610
2019-01-10,PEK,1480
2019-01-10,ATL,6460
2019-01-10,DEN,2739
2019-01-10,SIN,1939
2019-01-10,MUC,2326
2019-01-10,AUS,3144
2019-01-10,SAT,2117
2019-01-10,FRA,2396
2019-01-10,EWR,7192
2019-01-10,LAS,1516
2019-01-10,PHX,4187
2019-01-10,TLS,2143
2019-01-10,MAD,1379
2019-01-10,MSP,3029
2019-01-10,MEX,2119
2019-01-10,MIA,2442
2019-01-10,DTW,4303
2019-01-10,STO,1866
2019-01-10,RDU,2400
2019-01-10,PDX,2046
2019-01-10,CHI,8508
2019-01-10,STL,1905
2019-01-10,SYD,1232
2019-01-10,BNA,2204
2019-01-10,CLE,1559
2019-01-10,CLT,3809
2019-01-10,SFO,5746
2019-01-10,SJC,5224
2019-01-10,PIT,1818
2019-01-10,SAN,2075
2019-01-10,LON,9373
2019-01-10,HOU,5124
2019-01-10,SNA,2277
2019-01-10,YUL,1698
2019-01-10,YYZ,3728
2019-01-10,CMH,1772
2019-01-10,SHA,3896
2019-01-10,MIL,2056
2019-01-10,IND,1795
2019-01-10,MCO,2694
2019-01-10,AMS,2085
2019-01-10,LAX,4157
2019-01-10,BOS,6256
2019-01-10,NYC,15895
2019-01-10,PHL,4261
2019-01-10,WAS,6063
2019-01-10,DFW,8314
2019-01-10,SEA,4648
2019-01-17,YUL,1885
2019-01-17,CHI,8515
2019-01-17,RDU,2391
2019-01-17,AMS,2184
2019-01-17,IND,1826
2019-01-17,EWR,6746
2019-01-17,MSP,2891
2019-01-17,HOU,5351
2019-01-17,PDX,1952
2019-01-17,DFW,7935
2019-01-17,BNA,2132
2019-01-17,STL,1976
2019-01-17,PHL,4124
2019-01-17,SJC,4226
2019-01-17,LAX,3637
2019-01-17,MIA,1856
2019-01-17,MIL,1833
2019-01-17,CMH,1632
2019-01-17,DTW,3506
2019-01-17,PHX,4497
2019-01-17,SFO,4967
2019-01-17,SAN,2153
2019-01-17,AUS,2716
2019-01-17,MEX,2642
2019-01-17,SYD,1621
2019-01-17,CPH,1765
2019-01-17,MCO,2212
2019-01-17,ATL,6162
2019-01-17,SIN,2120
2019-01-17,CLT,3456
2019-01-17,FRA,2548
2019-01-17,MAD,1424
2019-01-17,LAS,1374
2019-01-17,STO,2091
2019-01-17,SEA,4407
2019-01-17,TLS,2060
2019-01-17,PEK,1579
2019-01-17,NYC,11324
2019-01-17,DEN,3076
2019-01-17,LON,9756
2019-01-17,PAR,11286
2019-01-17,MUC,3351
2019-01-17,CLE,1566
2019-01-17,SAT,2082
2019-01-17,YYZ,4204
2019-01-17,WAS,5270
2019-01-17,SHA,4035
2019-01-17,BOS,6100
2019-01-17,SNA,2018
2019-01-17,PIT,1835
2019-01-24,DEN,3257
2019-01-24,SNA,2289
2019-01-24,PAR,11962
2019-01-24,DFW,8368
2019-01-24,MEX,2380
2019-01-24,IND,2004
2019-01-24,LAS,1227
2019-01-24,FRA,2582
2019-01-24,RDU,2343
2019-01-24,SJC,4511
2019-01-24,LON,8970
2019-01-24,EWR,6777
2019-01-24,CMH,1745
2019-01-24,YYZ,4012
2019-01-24,CLT,3973
2019-01-24,STO,2178
2019-01-24,MUC,3258
2019-01-24,SIN,2125
2019-01-24,YUL,1713
2019-01-24,NYC,13357
2019-01-24,MCO,2161
2019-01-24,ATL,6559
2019-01-24,PHL,4550
2019-01-24,PEK,977
2019-01-24,AMS,2165
2019-01-24,PHX,4223
2019-01-24,PDX,1977
2019-01-24,PIT,1952
2019-01-24,SAT,2000
2019-01-24,STL,2081
2019-01-24,CPH,1928
2019-01-24,HOU,5139
2019-01-24,LAX,4344
2019-01-24,SYD,1538
2019-01-24,MIA,2462
2019-01-24,BNA,2089
2019-01-24,DTW,3681
2019-01-24,BOS,6073
2019-01-24,SEA,5259
2019-01-24,SAN,2506
2019-01-24,MSP,2937
2019-01-24,MIL,1880
2019-01-24,MAD,1716
2019-01-24,SHA,2224
2019-01-24,WAS,6285
2019-01-24,CLE,1680
2019-01-24,AUS,3056
2019-01-24,TLS,2199
2019-01-24,CHI,8948
2019-01-24,SFO,6025
2019-01-31,BNA,2310
2019-01-31,CPH,1795
2019-01-31,CHI,9163
2019-01-31,MIA,1863
2019-01-31,PHX,4258
2019-01-31,MUC,3149
2019-01-31,SFO,5900
2019-01-31,HOU,5159
2019-01-31,AUS,3023
2019-01-31,SYD,1977
2019-01-31,PEK,138
2019-01-31,DTW,3399
2019-01-31,MSP,2727
2019-01-31,CLT,3523
2019-01-31,YYZ,4087
2019-01-31,SNA,2411
2019-01-31,MAD,1697
2019-01-31,MIL,2018
2019-01-31,SAN,2051
2019-01-31,TLS,2197
2019-01-31,MEX,2008
2019-01-31,FRA,2592
2019-01-31,IND,1891
2019-01-31,PDX,2116
2019-01-31,SHA,266
2019-01-31,EWR,6296
2019-01-31,ATL,6571
2019-01-31,LAS,1494
2019-01-31,CMH,1706
2019-01-31,NYC,12978
2019-01-31,LON,9517
2019-01-31,CLE,1577
2019-01-31,PHL,4418
2019-01-31,PIT,1920
2019-01-31,SAT,2211
2019-01-31,YUL,2001
2019-01-31,WAS,6169
2019-01-31,DFW,8700
2019-01-31,STL,2185
2019-01-31,SEA,5358
2019-01-31,PAR,10803
2019-01-31,DEN,3110
2019-01-31,AMS,2423
2019-01-31,RDU,2486
2019-01-31,SIN,387
2019-01-31,BOS,6084
2019-01-31,SJC,4325
2019-01-31,STO,2229
2019-01-31,LAX,4032
2019-01-31,MCO,2335
2019-02-07,SIN,1834
2019-02-07,MAD,1659
2019-02-07,PEK,388
2019-02-07,MUC,3351
2019-02-07,AUS,2555
2019-02-07,IND,2120
2019-02-07,SYD,2532
2019-02-07,AMS,2506
2019-02-07,TLS,1745
2019-02-07,SHA,924
2019-02-07,DTW,3381
2019-02-07,YUL,1749
2019-02-07,LAX,4001
2019-02-07,BOS,5875
2019-02-07,LON,10155
2019-02-07,SNA,2085
2019-02-07,PHX,3688
2019-02-07,PAR,9182
2019-02-07,ATL,6043
2019-02-07,MIA,2376
2019-02-07,FRA,2714
2019-02-07,STL,2075
2019-02-07,MIL,1946
2019-02-07,SFO,11105
2019-02-07,YYZ,4200
2019-02-07,SEA,5086
2019-02-07,PHL,4467
2019-02-07,BNA,2100
2019-02-07,CLE,1572
2019-02-07,MEX,2453
2019-02-07,SAT,2291
2019-02-07,CLT,3600
2019-02-07,NYC,12437
2019-02-07,MCO,3544
2019-02-07,LAS,1532
